date,symbol,open,high,low,close,volume,adj_close
2019-09-27,IWM,152.82,153.22,150.5,151.16,20181900.0,146.42
2019-09-30,IWM,151.37,152.26,150.79,151.34,16905400.0,146.6
2019-10-01,IWM,152.11,153.35,148.05,148.37,34093500.0,143.72
2019-10-02,IWM,147.63,147.63,145.86,147.25,24894600.0,142.63
2019-10-03,IWM,146.69,147.94,144.93,147.74,25362800.0,143.11
2019-10-04,IWM,147.99,149.25,147.12,149.14,18640400.0,144.46
2019-10-07,IWM,148.78,150.07,148.12,148.88,15762800.0,144.21
2019-10-08,IWM,147.42,147.93,146.11,146.46,18110600.0,141.87
2019-10-09,IWM,147.54,147.69,146.64,147.13,10929500.0,142.52
2019-10-10,IWM,147.34,148.5,147.1,147.72,16349000.0,143.09
2019-10-11,IWM,149.79,151.96,147.69,150.22,29236300.0,145.51
2019-10-14,IWM,149.91,150.15,149.1,149.67,10692600.0,144.98
2019-10-15,IWM,150.17,152.13,149.79,151.39,16801200.0,146.64
2019-10-16,IWM,151.21,152.27,151.14,151.55,13119100.0,146.8
2019-10-17,IWM,152.29,153.51,152.05,153.34,13175800.0,148.53
2019-10-18,IWM,152.93,153.5,151.45,152.61,14490200.0,147.83
2019-10-21,IWM,154.17,154.98,153.91,154.04,17450300.0,149.21
2019-10-22,IWM,154.2,155.05,153.74,154.21,12471800.0,149.38
2019-10-23,IWM,154.34,154.75,153.55,154.4,8728000.0,149.56
2019-10-24,IWM,154.95,155.06,153.47,154.18,9091400.0,149.35
2019-10-25,IWM,153.91,155.53,153.9,155.0,10531500.0,150.14
2019-10-28,IWM,155.66,156.98,155.01,156.34,15392400.0,151.44
2019-10-29,IWM,156.01,157.34,155.86,156.85,11978300.0,151.93
2019-10-30,IWM,156.79,156.81,155.28,156.33,14451500.0,151.43
2019-10-31,IWM,156.1,156.1,154.24,155.45,17344200.0,150.58
2019-11-01,IWM,156.4,158.19,156.05,158.1,18421600.0,153.14
2019-11-04,IWM,159.4,159.7,158.47,158.95,16182000.0,153.97
2019-11-05,IWM,159.4,160.46,158.97,159.15,13760200.0,154.16
2019-11-06,IWM,158.99,158.99,157.81,158.23,16025500.0,153.27
2019-11-07,IWM,159.74,160.17,158.17,158.65,13448900.0,153.68
2019-11-08,IWM,158.28,159.27,157.95,159.08,11967400.0,154.09
2019-11-11,IWM,158.03,158.9,157.88,158.78,10508700.0,153.8
2019-11-12,IWM,158.93,159.88,158.49,158.83,14316900.0,153.85
2019-11-13,IWM,157.74,158.5,157.19,158.15,14514400.0,153.19
2019-11-14,IWM,157.93,158.91,157.79,158.1,13054000.0,153.14
2019-11-15,IWM,159.23,159.29,158.35,158.92,13119200.0,153.94
2019-11-18,IWM,158.72,158.74,157.94,158.52,10759500.0,153.55
2019-11-19,IWM,159.11,159.7,158.31,159.11,15203700.0,154.12
2019-11-20,IWM,158.55,159.6,157.26,158.51,21314300.0,153.54
2019-11-21,IWM,158.82,158.89,157.23,157.73,15388300.0,152.79
2019-11-22,IWM,158.31,158.54,157.35,158.22,13482400.0,153.26
2019-11-25,IWM,159.03,161.83,158.89,161.58,24753000.0,156.51
2019-11-26,IWM,161.75,162.54,161.29,161.69,15496700.0,156.62
2019-11-27,IWM,162.38,162.93,162.08,162.83,13202500.0,157.73
2019-11-29,IWM,162.41,162.79,161.67,161.77,9988200.0,156.7
2019-12-02,IWM,162.15,162.21,159.91,160.19,17190900.0,155.17
2019-12-03,IWM,158.82,159.76,158.1,159.68,14884400.0,154.67
2019-12-04,IWM,160.5,161.22,160.3,160.78,10833200.0,155.74
2019-12-05,IWM,161.47,161.65,160.45,160.94,11470700.0,155.89
2019-12-06,IWM,162.59,163.41,162.5,162.82,16486200.0,157.72
2019-12-09,IWM,162.75,163.16,162.39,162.51,13476700.0,157.42
2019-12-10,IWM,162.41,162.96,161.94,162.61,13704400.0,157.51
2019-12-11,IWM,162.88,163.08,161.95,162.56,19612200.0,157.46
2019-12-12,IWM,162.75,165.1,162.25,163.96,24857000.0,158.82
2019-12-13,IWM,163.73,164.81,162.55,163.33,23279600.0,158.21
2019-12-16,IWM,164.06,164.85,163.74,163.88,20115300.0,159.32
2019-12-17,IWM,164.14,164.7,163.7,164.7,12980000.0,160.12
2019-12-18,IWM,165.06,165.28,164.32,165.02,15379300.0,160.43
2019-12-19,IWM,165.28,165.73,164.88,165.73,11919800.0,161.12
2019-12-20,IWM,166.15,166.41,165.72,165.97,25449500.0,161.36
2019-12-23,IWM,166.24,166.36,165.36,166.3,13372100.0,161.68
2019-12-24,IWM,166.45,166.7,166.04,166.68,4334500.0,162.05
2019-12-26,IWM,166.83,166.98,166.36,166.68,9371200.0,162.05
2019-12-27,IWM,167.12,167.12,165.43,165.86,12261800.0,161.25
2019-12-30,IWM,165.98,166.21,164.57,165.44,14912700.0,160.84
2019-12-31,IWM,165.08,166.35,164.71,165.67,17362400.0,161.07
2020-01-02,IWM,166.74,166.75,164.23,165.78,18297500.0,161.17
2020-01-03,IWM,163.74,165.41,163.7,165.13,19295600.0,160.54
2020-01-06,IWM,163.85,165.54,163.54,165.35,17150900.0,160.75
2020-01-07,IWM,164.85,165.34,164.21,164.8,11817900.0,160.22
2020-01-08,IWM,164.82,166.03,164.72,165.31,13832400.0,160.72
2020-01-09,IWM,166.12,166.45,165.26,165.51,11895400.0,160.91
2020-01-10,IWM,165.55,165.69,164.2,164.89,15353000.0,160.31
2020-01-13,IWM,164.94,166.04,164.07,165.96,17271100.0,161.35
2020-01-14,IWM,165.14,167.59,164.98,166.57,18323000.0,161.94
2020-01-15,IWM,166.15,167.95,166.14,167.37,15437200.0,162.72
2020-01-16,IWM,168.59,169.87,168.43,169.53,19976200.0,164.82
2020-01-17,IWM,170.28,170.56,168.67,169.07,18306400.0,164.37
2020-01-21,IWM,168.36,168.99,167.27,167.67,17935100.0,163.01
2020-01-22,IWM,168.19,168.62,167.18,167.56,14916300.0,162.9
2020-01-23,IWM,167.1,167.97,165.45,167.45,15954300.0,162.8
2020-01-24,IWM,168.01,168.01,164.23,165.39,20491400.0,160.79
2020-01-27,IWM,162.85,164.49,162.42,163.51,18539000.0,158.97
2020-01-28,IWM,164.5,165.4,163.49,164.87,16690400.0,160.29
2020-01-29,IWM,165.1,165.56,163.9,163.93,14944400.0,159.37
2020-01-30,IWM,162.84,164.14,161.93,163.93,21889700.0,159.37
2020-01-31,IWM,163.32,163.92,160.03,160.53,30439000.0,156.07
2020-02-03,IWM,161.6,162.93,161.49,162.32,17373200.0,157.81
2020-02-04,IWM,164.31,165.31,164.16,164.77,15994200.0,160.19
2020-02-05,IWM,166.48,167.53,165.69,167.31,17807000.0,162.66
2020-02-06,IWM,167.89,168.15,166.76,166.93,14768900.0,162.29
2020-02-07,IWM,166.29,166.36,164.4,164.88,18029600.0,160.3
2020-02-10,IWM,164.56,165.89,164.46,165.81,11428800.0,161.2
2020-02-11,IWM,166.79,167.96,166.27,166.96,15005600.0,162.32
2020-02-12,IWM,168.02,168.29,167.28,168.11,12123000.0,163.44
2020-02-13,IWM,167.22,168.95,167.11,168.55,12649300.0,163.87
2020-02-14,IWM,168.7,168.78,167.34,167.9,16006200.0,163.23
2020-02-18,IWM,167.5,168.06,166.43,167.54,13412100.0,162.88
2020-02-19,IWM,168.17,169.14,167.53,168.4,11084600.0,163.72
2020-02-20,IWM,167.9,169.11,166.59,168.81,20383800.0,164.12
2020-02-21,IWM,168.15,168.63,166.33,167.1,18729900.0,162.46
2020-02-24,IWM,161.86,167.06,161.1,162.07,28239500.0,157.57
2020-02-25,IWM,162.52,162.76,155.96,156.31,45047000.0,151.97
2020-02-26,IWM,157.05,158.49,154.22,154.5,39465000.0,150.21
2020-02-27,IWM,151.35,155.01,148.82,149.06,50530300.0,144.92
2020-02-28,IWM,144.85,149.13,143.91,146.33,72036400.0,142.26
2020-03-02,IWM,147.97,151.23,145.39,151.03,33569300.0,146.83
2020-03-03,IWM,151.09,154.2,146.31,147.95,42941300.0,143.84
2020-03-04,IWM,150.28,152.45,148.52,152.16,36195800.0,147.93
2020-03-05,IWM,148.84,152.48,145.49,147.32,32729400.0,143.23
2020-03-06,IWM,142.71,145.98,140.99,144.4,39688300.0,140.39
2020-03-09,IWM,134.13,136.17,130.26,130.36,56320000.0,126.74
2020-03-10,IWM,134.71,134.8,128.02,134.43,54432700.0,130.69
2020-03-11,IWM,130.92,132.27,124.17,125.88,51354800.0,122.38
2020-03-12,IWM,116.77,119.9,111.6,111.97,70114300.0,108.86
2020-03-13,IWM,118.31,119.96,109.55,119.47,57915100.0,116.15
2020-03-16,IWM,108.62,111.3,101.43,103.62,59095700.0,100.74
2020-03-17,IWM,104.96,110.5,100.61,108.37,59344800.0,105.36
2020-03-18,IWM,103.05,106.78,96.25,99.97,62296700.0,97.19
2020-03-19,IWM,99.66,106.8,95.69,103.87,62654700.0,100.98
2020-03-20,IWM,106.12,108.76,100.45,101.4,76203700.0,98.58
2020-03-23,IWM,101.9,102.18,95.91,99.9,63534700.0,97.12
2020-03-24,IWM,105.37,109.33,99.93,109.04,73386700.0,106.01
2020-03-25,IWM,109.48,114.0,106.02,109.97,56043700.0,107.33
2020-03-26,IWM,111.54,117.6,111.2,116.81,51657600.0,114.0
2020-03-27,IWM,112.25,116.02,110.87,112.56,39931500.0,109.85
2020-03-30,IWM,113.24,115.26,110.8,115.04,41552100.0,112.27
2020-03-31,IWM,114.6,116.17,111.96,114.46,52948000.0,111.71
2020-04-01,IWM,108.7,110.38,105.53,106.66,54224200.0,104.1
2020-04-02,IWM,105.72,110.39,104.57,107.67,43774200.0,105.08
2020-04-03,IWM,106.59,108.0,102.6,104.62,42189200.0,102.11
2020-04-06,IWM,109.09,113.34,109.02,112.63,48708100.0,109.92
2020-04-07,IWM,116.88,118.64,112.39,112.92,57546100.0,110.21
2020-04-08,IWM,114.88,119.24,113.29,118.07,52822300.0,115.23
2020-04-09,IWM,121.92,124.61,121.33,123.72,69528600.0,120.75
2020-04-13,IWM,122.85,123.51,119.12,120.37,40198200.0,117.48
2020-04-14,IWM,123.9,124.88,121.3,122.81,35089700.0,119.86
2020-04-15,IWM,117.86,119.11,116.66,117.8,34809900.0,114.97
2020-04-16,IWM,118.09,118.42,114.56,116.91,49501300.0,114.1
2020-04-17,IWM,121.9,122.72,120.06,122.06,46250200.0,119.13
